סמל ועדה,ברזל,שם ישוב,סמל ישוב,קלפי,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס,
17,8890,אשדוד,70,201,52,0,658,462,1,461,15,3,0,0,0,0,22,0,0,0,0,0,0,0,0,12,251,0,0,0,6,0,101,0,0,0,0,0,0,51,
17,8933,אשדוד,70,247,48,0,582,372,0,372,14,2,0,1,0,0,10,0,0,0,0,0,0,0,0,42,188,1,0,0,1,0,69,0,1,0,0,0,0,43,
17,8934,אשדוד,70,248,6,0,647,176,0,176,3,7,1,1,0,0,0,0,0,0,0,1,0,0,0,34,76,0,0,0,3,0,21,0,0,0,0,0,0,29,
17,8946,אשדוד,70,266,80,0,499,359,0,359,5,2,0,0,0,0,10,0,0,0,0,0,0,0,0,42,178,0,0,0,1,0,83,0,0,0,0,0,0,38,
17,9022,קרית גת,2630,39,11,0,457,339,0,339,14,23,0,0,0,0,28,0,0,0,0,0,0,0,0,16,145,0,0,0,4,0,59,0,0,0,0,0,0,50,
17,9050,קרית גת,2630,73,17,0,654,532,2,530,5,225,0,0,0,0,23,0,0,0,0,0,0,0,0,7,136,0,0,0,1,0,51,0,0,0,0,0,0,82,
17,9118,אחווה,1157,1,1,0,185,143,0,143,13,0,0,0,0,0,3,0,0,0,1,0,0,0,0,7,28,0,1,0,0,0,88,0,0,0,0,0,0,2,
17,9120,איבים,338,1,1,0,126,35,0,35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,1,0,0,0,0,0,0,3,
17,9121,איתן,37,1,1,0,350,274,1,273,1,14,0,0,0,0,22,0,0,0,0,0,0,0,0,0,176,1,0,0,5,0,6,0,0,0,0,0,0,48,
17,9122,אלומה,1145,1,2,0,330,280,0,280,0,74,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,182,
17,9123,אליאב,1365,1,1,0,224,197,1,196,24,0,1,0,0,0,59,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,88,0,0,0,0,0,0,0,
